TransactionID, Transaction_date, Quantity,Subtotal, Taxes, DiscountPrice,TotalAmount, Payment_Method, Products_ProductID, CustomerCart_CustomerID, Cashier_CashierID
T1,11/11/2016,2,261.96,11.46,78.59,273.42,COD,FUR-BO-10001798,1,3
T2,11/11/2016,3,512.36,22.42,153.71,534.77,COD,FUR-CH-10000454,1,3
T3,16/06/2016,2,14.62,0.91,0,15.53,Debitcard,OFF-LA-10000240,2,3
T4,18/10/2015,5,957.58,41.89,287.27,999.47,EMI,FUR-TA-10000577,3,3
T5,18/10/2015,2,27.96,1.57,2.8,29.53,EMI,OFF-ST-10000760,3,3
T6,14/06/2014,7,146.58,8.25,14.66,154.83,netbanking,FUR-FU-10001487,4,1
T7,14/06/2014,4,14.56,0.91,0,15.47,netbanking,OFF-AR-10002833,4,1
T8,14/06/2014,6,1814.3,96.38,272.15,1910.69,netbanking,TEC-PH-10002275,4,1
T9,14/06/2014,3,6.94,0.43,0,7.37,netbanking,OFF-BI-10003910,4,1
T10,14/06/2014,5,114.9,6.46,11.49,121.36,netbanking,OFF-AP-10002892,4,1
T11,14/06/2014,9,1279.64,55.98,383.89,1335.62,netbanking,FUR-TA-10001539,4,1
T12,14/06/2014,4,1139.28,60.52,170.89,1199.8,netbanking,TEC-PH-10002033,4,1
T13,20/04/2017,3,38.88,2.19,3.89,41.07,Credit card,OFF-PA-10002365,5,2
T14,10/12/2016,3,152.99,7.65,30.6,160.64,EMI,OFF-BI-10003656,6,1
T15,26/11/2015,5,68.81,3.87,6.88,72.68,COD,OFF-AP-10002311,7,1
T16,26/11/2015,3,5.09,0.32,0,5.41,COD,OFF-BI-10000756,7,1
T17,18/11/2014,6,1331.76,70.75,199.76,1402.51,Debitcard,OFF-ST-10004186,8,1
T18,15/05/2014,2,111,5.55,22.2,116.55,EMI,OFF-ST-10000107,9,3
T19,01/09/2014,2,13.7,0.86,0,14.55,EMI,OFF-AR-10003056,10,3
T20,01/09/2014,3,640.44,34.02,96.07,674.46,EMI,TEC-PH-10001949,10,3
T21,01/09/2014,4,56.8,3.2,5.68,60,EMI,OFF-BI-10002215,10,3
T22,13/12/2016,7,38.92,2.43,0,41.35,COD,OFF-AR-10000246,11,1
T23,13/12/2016,7,60.34,3.77,0,64.11,COD,OFF-AP-10001492,11,1
T24,18/07/2017,2,81.57,4.59,8.16,86.16,COD,FUR-CH-10002774,12,3
T25,30/09/2015,3,574.55,25.14,172.36,599.68,Cash,FUR-TA-10000577,13,3
T26,20/01/2016,2,8.74,0.55,0,9.28,netbanking,OFF-BI-10001634,14,2
